Date,Open,High,Low,Close,Adj Close,Volume
19/12/2020,654.624207,668.769592,646.616211,659.297913,659.297913,12830893778
20/12/2020,659.185059,659.923706,625.014465,638.290833,638.290833,13375855442
21/12/2020,638.315186,646.846558,600.83606,609.817871,609.817871,14419493621
22/12/2020,609.420532,635.076599,589.552002,634.854187,634.854187,14745890080
23/12/2020,634.824585,637.122803,560.364258,583.7146,583.7146,15261413038
24/12/2020,584.13562,613.815186,568.596375,611.607178,611.607178,14317413703
25/12/2020,611.554565,633.061401,605.424438,626.410706,626.410706,13520927700
26/12/2020,626.498047,650.721436,617.4021,635.835815,635.835815,14761125202
27/12/2020,635.887146,711.393555,628.334961,682.642334,682.642334,26093552821
28/12/2020,683.205811,745.877747,683.205811,730.397339,730.397339,24222565862
29/12/2020,730.358704,737.952881,692.149414,731.520142,731.520142,18710683199
30/12/2020,731.472839,754.303223,720.988892,751.618958,751.618958,17294574210
31/12/2020,751.626648,754.299438,726.511902,737.803406,737.803406,13926846861
01/01/2021,737.708374,749.201843,719.792236,730.367554,730.367554,13652004358
02/01/2021,730.402649,786.798462,718.109497,774.534973,774.534973,19740771179
03/01/2021,774.511841,1006.565002,771.561646,975.50769,975.50769,45200463368
04/01/2021,977.058838,1153.189209,912.305359,1040.233032,1040.233032,56945985763
05/01/2021,1041.498779,1129.37146,986.811279,1100.006104,1100.006104,41535932781
06/01/2021,1101.005005,1209.428589,1064.233398,1207.112183,1207.112183,44699914188
07/01/2021,1208.078369,1282.57959,1167.443115,1225.678101,1225.678101,40468027280
08/01/2021,1225.967896,1273.827515,1076.081543,1224.197144,1224.197144,44334826666
09/01/2021,1223.740479,1303.871826,1182.270386,1281.077271,1281.077271,33233105361
10/01/2021,1280.871094,1347.926147,1194.715576,1262.246704,1262.246704,40616938053
11/01/2021,1261.622925,1261.622925,924.922607,1090.145386,1090.145386,60733630300
12/01/2021,1088.526733,1149.240234,1012.76416,1043.43457,1043.43457,37494601692
13/01/2021,1043.740967,1134.338501,994.549072,1130.73938,1130.73938,30109792795
14/01/2021,1130.231201,1244.163086,1093.060791,1218.453003,1218.453003,33410915929
15/01/2021,1221.877197,1250.505859,1090.721069,1171.834595,1171.834595,35972039310
16/01/2021,1171.443115,1290.053589,1157.623779,1233.537598,1233.537598,32319240157
17/01/2021,1233.453369,1265.644653,1174.38855,1230.172241,1230.172241,29258032819
18/01/2021,1230.313232,1259.450073,1187.311035,1257.279541,1257.279541,25817455560
19/01/2021,1257.43457,1432.300049,1254.522949,1377.295898,1377.295898,47195935190
20/01/2021,1375.248413,1405.744141,1243.299927,1382.274048,1382.274048,46784030909
21/01/2021,1382.684448,1382.684448,1098.476196,1121.570923,1121.570923,45932464754
22/01/2021,1118.889038,1271.687622,1046.596558,1236.512207,1236.512207,43918338506
23/01/2021,1235.267944,1272.151123,1200.893311,1230.990601,1230.990601,27253895441
24/01/2021,1231.210571,1395.111328,1225.274048,1391.609375,1391.609375,36418163554
25/01/2021,1390.639893,1467.784912,1304.973999,1324.414795,1324.414795,43565777745
26/01/2021,1323.741699,1376.085083,1253.340332,1357.058105,1357.058105,41572917750
27/01/2021,1358.333374,1368.074097,1215.311279,1253.187134,1253.187134,39394416990
28/01/2021,1251.279785,1321.613037,1226.17395,1298.101807,1298.101807,39790481941
29/01/2021,1369.086792,1428.981201,1292.240112,1382.522827,1382.522827,53611955259
30/01/2021,1382.231934,1402.39978,1328.529053,1376.115479,1376.115479,30616574234
31/01/2021,1376.823608,1378.916016,1288.501587,1314.986206,1314.986206,25198853581
01/02/2021,1314.855225,1373.845825,1274.357788,1369.040527,1369.040527,29210670920
02/02/2021,1369.505127,1542.990967,1362.77124,1515.193726,1515.193726,45437142801
03/02/2021,1514.769653,1660.909546,1510.010254,1660.909546,1660.909546,41874566399
04/02/2021,1661.170166,1689.186646,1561.853516,1594.762695,1594.762695,44396871836
05/02/2021,1594.793335,1756.510986,1594.793335,1718.650879,1718.650879,40108628454
06/02/2021,1717.797485,1738.314453,1649.068726,1677.846802,1677.846802,39873420648
07/02/2021,1677.605713,1690.036621,1501.750244,1614.227783,1614.227783,39889440151
08/02/2021,1613.642212,1770.59082,1571.579956,1746.616821,1746.616821,48012285956
09/02/2021,1746.926147,1815.963623,1711.620605,1768.035034,1768.035034,44180727529
10/02/2021,1768.039795,1826.696777,1686.542358,1744.243408,1744.243408,41916084617
11/02/2021,1743.714233,1806.539063,1708.679199,1783.797974,1783.797974,36021495262
12/02/2021,1783.489136,1861.356934,1744.168945,1843.532593,1843.532593,37905036865
13/02/2021,1843.986816,1871.603516,1770.612061,1814.109863,1814.109863,35359490535
14/02/2021,1814.372314,1848.154053,1789.914185,1805.084106,1805.084106,31439114900
15/02/2021,1804.676758,1833.830566,1683.906616,1779.791016,1779.791016,38955610883
16/02/2021,1778.945557,1824.518677,1729.641968,1781.067505,1781.067505,34269369268
17/02/2021,1781.350098,1853.667603,1736.705811,1848.458252,1848.458252,35955412703
18/02/2021,1848.206299,1949.903442,1848.206299,1937.449219,1937.449219,28255902969
19/02/2021,1938.859863,1969.546997,1896.684448,1960.164795,1960.164795,26268814253
20/02/2021,1959.902954,2036.286499,1830.531494,1919.534058,1919.534058,34696091102
21/02/2021,1918.673096,1974.259644,1890.368164,1935.601074,1935.601074,23626547717
22/02/2021,1935.557861,1936.453735,1580.626587,1781.99292,1781.99292,42409646036
23/02/2021,1781.409058,1781.409058,1378.840942,1570.203979,1570.203979,52029864713
24/02/2021,1571.47644,1710.983765,1511.018921,1626.575684,1626.575684,31329000537
25/02/2021,1625.393921,1670.224121,1465.05896,1475.703735,1475.703735,24481681873
26/02/2021,1478.65332,1559.028931,1407.979248,1446.033691,1446.033691,31435997881
27/02/2021,1446.929443,1524.932373,1433.786987,1459.973145,1459.973145,20742103233
28/02/2021,1459.860474,1468.391479,1300.472168,1416.04895,1416.04895,27637026080
01/03/2021,1417.151123,1567.69458,1416.416138,1564.707642,1564.707642,24032838645
02/03/2021,1564.063477,1597.610107,1461.325439,1492.608765,1492.608765,22523669722
03/03/2021,1491.451172,1650.360596,1481.905762,1575.853149,1575.853149,22674780680
04/03/2021,1574.623779,1622.953857,1511.103394,1541.914307,1541.914307,22906118718
05/03/2021,1541.541748,1547.878174,1450.891357,1533.275024,1533.275024,21067146937
06/03/2021,1532.372803,1669.106567,1519.141113,1654.741577,1654.741577,22746262366
07/03/2021,1655.392456,1730.924194,1636.564453,1723.153809,1723.153809,23809935410
08/03/2021,1724.229248,1835.192139,1670.942017,1834.727905,1834.727905,27630991158
09/03/2021,1835.148071,1868.048828,1804.266357,1868.048828,1868.048828,23461244507
10/03/2021,1868.489014,1873.803223,1766.490479,1799.16626,1799.16626,25154173185
11/03/2021,1798.033936,1843.818848,1734.617065,1826.194946,1826.194946,24013132909
12/03/2021,1826.546753,1839.497314,1728.980957,1772.102417,1772.102417,22435821312
13/03/2021,1772.166382,1937.645508,1733.639893,1924.685425,1924.685425,25014689475
14/03/2021,1923.86377,1930.779785,1845.119995,1854.564331,1854.564331,19344589211
15/03/2021,1854.08667,1889.196655,1749.606323,1791.702271,1791.702271,26244738810
16/03/2021,1792.413818,1817.060181,1720.053223,1806.971802,1806.971802,23828509590
17/03/2021,1807.056152,1839.81897,1749.179932,1823.449341,1823.449341,24512917348
18/03/2021,1823.158447,1848.646118,1705.716064,1782.855103,1782.855103,23263845504
19/03/2021,1782.568726,1841.196045,1746.473389,1817.624146,1817.624146,21249297710
20/03/2021,1817.522705,1874.708984,1811.728638,1812.634644,1812.634644,22677674970
21/03/2021,1812.606567,1823.353027,1764.139282,1788.217041,1788.217041,22977404620
22/03/2021,1788.362183,1811.968262,1674.299805,1691.333984,1691.333984,23599296129
23/03/2021,1690.871826,1725.108765,1662.539917,1678.650146,1678.650146,21998237965
24/03/2021,1678.002563,1740.428223,1570.787964,1593.413452,1593.413452,31228051473
25/03/2021,1593.123291,1625.911499,1560.370483,1595.359253,1595.359253,29650328701
26/03/2021,1595.210083,1702.922852,1594.736694,1702.842041,1702.842041,22548516548
27/03/2021,1703.036133,1732.824341,1674.319336,1716.494629,1716.494629,18102277710
28/03/2021,1716.40564,1728.584106,1672.6604,1691.355957,1691.355957,16599472938
29/03/2021,1691.263184,1837.187988,1683.716553,1819.684937,1819.684937,22796570548
30/03/2021,1819.466309,1860.974731,1793.922363,1846.033691,1846.033691,22512781703
31/03/2021,1846.098267,1947.837769,1793.002197,1918.362061,1918.362061,30226902621
01/04/2021,1919.157227,1989.055054,1912.178467,1977.276855,1977.276855,30914259795
02/04/2021,1976.932739,2152.451904,1960.678711,2143.225586,2143.225586,34862511022
03/04/2021,2142.895996,2144.962402,2028.422485,2028.422485,2028.422485,32011518871
04/04/2021,2027.671265,2110.353516,2007.111816,2093.122803,2093.122803,26006501902
05/04/2021,2093.260742,2140.985352,2032.387695,2107.887207,2107.887207,28889391170
06/04/2021,2109.493164,2151.223389,2057.609131,2118.378906,2118.378906,29222865881
07/04/2021,2117.728516,2133.1875,1945.442139,1971.077271,1971.077271,36116271935
08/04/2021,1969.133179,2091.516357,1959.079468,2088.57373,2088.57373,25312956529
